clean,corrupted,start_year
The effect lasted from the year 1282 to the year 12,The effect lasted from the year 1201 to the year 12,82
The tests lasted from the year 1396 to the year 13,The tests lasted from the year 1301 to the year 13,96
The growth lasted from the year 1703 to the year 17,The growth lasted from the year 1701 to the year 17,3
The fall lasted from the year 1723 to the year 17,The fall lasted from the year 1701 to the year 17,23
The shift lasted from the year 1550 to the year 15,The shift lasted from the year 1501 to the year 15,50
The fall lasted from the year 1628 to the year 16,The fall lasted from the year 1601 to the year 16,28
The attack lasted from the year 1774 to the year 17,The attack lasted from the year 1701 to the year 17,74
The riot lasted from the year 1239 to the year 12,The riot lasted from the year 1201 to the year 12,39
The case lasted from the year 1638 to the year 16,The case lasted from the year 1601 to the year 16,38
The impact lasted from the year 1597 to the year 15,The impact lasted from the year 1501 to the year 15,97
The effect lasted from the year 1176 to the year 11,The effect lasted from the year 1101 to the year 11,76
The attack lasted from the year 1706 to the year 17,The attack lasted from the year 1701 to the year 17,6
The test lasted from the year 1662 to the year 16,The test lasted from the year 1601 to the year 16,62
The contact lasted from the year 1434 to the year 14,The contact lasted from the year 1401 to the year 14,34
The order lasted from the year 1524 to the year 15,The order lasted from the year 1501 to the year 15,24
The plan lasted from the year 1540 to the year 15,The plan lasted from the year 1501 to the year 15,40
The test lasted from the year 1719 to the year 17,The test lasted from the year 1701 to the year 17,19
The case lasted from the year 1714 to the year 17,The case lasted from the year 1701 to the year 17,14
The effect lasted from the year 1653 to the year 16,The effect lasted from the year 1601 to the year 16,53
The effect lasted from the year 1310 to the year 13,The effect lasted from the year 1301 to the year 13,10
The practice lasted from the year 1612 to the year 16,The practice lasted from the year 1601 to the year 16,12
The attack lasted from the year 1711 to the year 17,The attack lasted from the year 1701 to the year 17,11
The quest lasted from the year 1208 to the year 12,The quest lasted from the year 1201 to the year 12,8
The practice lasted from the year 1731 to the year 17,The practice lasted from the year 1701 to the year 17,31
The effect lasted from the year 1219 to the year 12,The effect lasted from the year 1201 to the year 12,19
The shift lasted from the year 1209 to the year 12,The shift lasted from the year 1201 to the year 12,9
The trial lasted from the year 1544 to the year 15,The trial lasted from the year 1501 to the year 15,44
The riot lasted from the year 1626 to the year 16,The riot lasted from the year 1601 to the year 16,26
The trial lasted from the year 1217 to the year 12,The trial lasted from the year 1201 to the year 12,17
The case lasted from the year 1248 to the year 12,The case lasted from the year 1201 to the year 12,48
The testing lasted from the year 1760 to the year 17,The testing lasted from the year 1701 to the year 17,60
The trip lasted from the year 1660 to the year 16,The trip lasted from the year 1601 to the year 16,60
The growth lasted from the year 1546 to the year 15,The growth lasted from the year 1501 to the year 15,46
The study lasted from the year 1202 to the year 12,The study lasted from the year 1201 to the year 12,2
The shift lasted from the year 1609 to the year 16,The shift lasted from the year 1601 to the year 16,9
The practice lasted from the year 1686 to the year 16,The practice lasted from the year 1601 to the year 16,86
The attack lasted from the year 1525 to the year 15,The attack lasted from the year 1501 to the year 15,25
The employment lasted from the year 1511 to the year 15,The employment lasted from the year 1501 to the year 15,11
The shift lasted from the year 1639 to the year 16,The shift lasted from the year 1601 to the year 16,39
The riot lasted from the year 1429 to the year 14,The riot lasted from the year 1401 to the year 14,29
The rise lasted from the year 1392 to the year 13,The rise lasted from the year 1301 to the year 13,92
The operation lasted from the year 1563 to the year 15,The operation lasted from the year 1501 to the year 15,63
The order lasted from the year 1326 to the year 13,The order lasted from the year 1301 to the year 13,26
The program lasted from the year 1227 to the year 12,The program lasted from the year 1201 to the year 12,27
The fall lasted from the year 1466 to the year 14,The fall lasted from the year 1401 to the year 14,66
The fall lasted from the year 1558 to the year 15,The fall lasted from the year 1501 to the year 15,58
The shift lasted from the year 1703 to the year 17,The shift lasted from the year 1701 to the year 17,3
The contact lasted from the year 1456 to the year 14,The contact lasted from the year 1401 to the year 14,56
The growth lasted from the year 1761 to the year 17,The growth lasted from the year 1701 to the year 17,61
The impact lasted from the year 1703 to the year 17,The impact lasted from the year 1701 to the year 17,3
The growth lasted from the year 1163 to the year 11,The growth lasted from the year 1101 to the year 11,63
The effect lasted from the year 1464 to the year 14,The effect lasted from the year 1401 to the year 14,64
The growth lasted from the year 1434 to the year 14,The growth lasted from the year 1401 to the year 14,34
The impact lasted from the year 1215 to the year 12,The impact lasted from the year 1201 to the year 12,15
The tests lasted from the year 1712 to the year 17,The tests lasted from the year 1701 to the year 17,12
The tests lasted from the year 1291 to the year 12,The tests lasted from the year 1201 to the year 12,91
The progress lasted from the year 1708 to the year 17,The progress lasted from the year 1701 to the year 17,8
The study lasted from the year 1258 to the year 12,The study lasted from the year 1201 to the year 12,58
The employment lasted from the year 1608 to the year 16,The employment lasted from the year 1601 to the year 16,8
The tests lasted from the year 1210 to the year 12,The tests lasted from the year 1201 to the year 12,10
The tests lasted from the year 1782 to the year 17,The tests lasted from the year 1701 to the year 17,82
The riot lasted from the year 1220 to the year 12,The riot lasted from the year 1201 to the year 12,20
The growth lasted from the year 1698 to the year 16,The growth lasted from the year 1601 to the year 16,98
The impact lasted from the year 1236 to the year 12,The impact lasted from the year 1201 to the year 12,36
The riot lasted from the year 1780 to the year 17,The riot lasted from the year 1701 to the year 17,80
The rule lasted from the year 1528 to the year 15,The rule lasted from the year 1501 to the year 15,28
The project lasted from the year 1552 to the year 15,The project lasted from the year 1501 to the year 15,52
The marriage lasted from the year 1426 to the year 14,The marriage lasted from the year 1401 to the year 14,26
The attack lasted from the year 1327 to the year 13,The attack lasted from the year 1301 to the year 13,27
The attack lasted from the year 1732 to the year 17,The attack lasted from the year 1701 to the year 17,32
The program lasted from the year 1593 to the year 15,The program lasted from the year 1501 to the year 15,93
The progress lasted from the year 1580 to the year 15,The progress lasted from the year 1501 to the year 15,80
The testing lasted from the year 1579 to the year 15,The testing lasted from the year 1501 to the year 15,79
The development lasted from the year 1137 to the year 11,The development lasted from the year 1101 to the year 11,37
The shift lasted from the year 1793 to the year 17,The shift lasted from the year 1701 to the year 17,93
The case lasted from the year 1208 to the year 12,The case lasted from the year 1201 to the year 12,8
The employment lasted from the year 1655 to the year 16,The employment lasted from the year 1601 to the year 16,55
The testing lasted from the year 1422 to the year 14,The testing lasted from the year 1401 to the year 14,22
The employment lasted from the year 1353 to the year 13,The employment lasted from the year 1301 to the year 13,53
The effect lasted from the year 1692 to the year 16,The effect lasted from the year 1601 to the year 16,92
The existence lasted from the year 1284 to the year 12,The existence lasted from the year 1201 to the year 12,84
The effect lasted from the year 1354 to the year 13,The effect lasted from the year 1301 to the year 13,54
The rise lasted from the year 1671 to the year 16,The rise lasted from the year 1601 to the year 16,71
The project lasted from the year 1324 to the year 13,The project lasted from the year 1301 to the year 13,24
The growth lasted from the year 1589 to the year 15,The growth lasted from the year 1501 to the year 15,89
The shift lasted from the year 1366 to the year 13,The shift lasted from the year 1301 to the year 13,66
The trial lasted from the year 1316 to the year 13,The trial lasted from the year 1301 to the year 13,16
The case lasted from the year 1291 to the year 12,The case lasted from the year 1201 to the year 12,91
The practice lasted from the year 1454 to the year 14,The practice lasted from the year 1401 to the year 14,54
